date,session_key,meeting_key,driver_number,position
2023-03-05T15:29:09.472000+00:00,7953,1141,14,7
2023-03-05T15:29:09.472000+00:00,7953,1141,18,8
2023-03-05T15:29:09.941000+00:00,7953,1141,63,8
2023-03-05T15:29:09.941000+00:00,7953,1141,18,9
2023-03-05T15:29:10.269000+00:00,7953,1141,23,10
2023-03-05T15:29:10.269000+00:00,7953,1141,20,11
2023-03-05T15:29:12.363000+00:00,7953,1141,31,13
2023-03-05T15:29:12.363000+00:00,7953,1141,22,12
2023-03-05T15:29:17.160000+00:00,7953,1141,22,11
2023-03-05T15:29:17.160000+00:00,7953,1141,20,12
2023-03-05T15:29:19.785000+00:00,7953,1141,31,14
2023-03-05T15:29:19.785000+00:00,7953,1141,20,13
2023-03-05T15:29:19.785000+00:00,7953,1141,10,12
2023-03-05T15:29:20.269000+00:00,7953,1141,31,15
2023-03-05T15:29:20.269000+00:00,7953,1141,2,13
2023-03-05T15:29:20.269000+00:00,7953,1141,20,14
2023-03-05T15:29:25.675000+00:00,7953,1141,31,16
2023-03-05T15:29:25.675000+00:00,7953,1141,4,14
2023-03-05T15:29:25.675000+00:00,7953,1141,20,15
2023-03-05T15:29:26.784000+00:00,7953,1141,31,17
2023-03-05T15:29:26.784000+00:00,7953,1141,20,16
2023-03-05T15:29:26.784000+00:00,7953,1141,21,15
2023-03-05T15:29:27.925000+00:00,7953,1141,31,18
2023-03-05T15:29:27.925000+00:00,7953,1141,27,16
2023-03-05T15:29:27.925000+00:00,7953,1141,20,17
2023-03-05T15:29:28.691000+00:00,7953,1141,31,19
2023-03-05T15:29:28.691000+00:00,7953,1141,24,17
2023-03-05T15:29:28.691000+00:00,7953,1141,20,18
2023-03-05T15:31:04.783000+00:00,7953,1141,14,6
2023-03-05T15:31:04.783000+00:00,7953,1141,77,7
2023-03-05T15:31:56.110000+00:00,7953,1141,1,1
2023-03-05T15:31:56.110000+00:00,7953,1141,11,2
2023-03-05T15:32:06.500000+00:00,7953,1141,11,3
2023-03-05T15:32:06.500000+00:00,7953,1141,16,2
2023-03-05T15:32:40.062000+00:00,7953,1141,4,15
2023-03-05T15:32:40.062000+00:00,7953,1141,21,14
2023-03-05T15:32:44.453000+00:00,7953,1141,63,7
2023-03-05T15:32:44.453000+00:00,7953,1141,77,8
2023-03-05T15:32:46.468000+00:00,7953,1141,27,15
2023-03-05T15:32:46.468000+00:00,7953,1141,4,16
2023-03-05T15:32:46.796000+00:00,7953,1141,4,17
2023-03-05T15:32:46.796000+00:00,7953,1141,24,16
2023-03-05T15:32:56.077000+00:00,7953,1141,4,18
2023-03-05T15:32:56.077000+00:00,7953,1141,20,17
2023-03-05T15:33:04.905000+00:00,7953,1141,27,16
2023-03-05T15:33:04.905000+00:00,7953,1141,24,15
2023-03-05T15:33:14.687000+00:00,7953,1141,31,18
